cell,config,quota_backend_bytes,status,outcome
cell018,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell019,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell020,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell021,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell022,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell023,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell024,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell025,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell026,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell027,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
