group,units,seeds,fresh,cache_replay,wall_total_s,compute_hours,peak_rss_max_bytes,space_size
etcd-cluster,198,50,204,0,18589.6,0.393747,1089380352,96
etcd-cluster-v1,100,50,100,0,26809.6,0.194114,1086902272,64
kafka-cluster,104,50,127,0,23563.8,0.211719,1096966144,746496
rabbitmq-crash,6,1,6,0,567.727,0.0118194,1098342400,24
rabbitmq-disk,7,1,7,0,1157.26,0.0137722,1099030528,864
rabbitmq-disk-serial,4,1,4,0,497.239,0.00771944,1098846208,864
rabbitmq-faildom,3,1,3,0,273.313,0.00567778,1097850880,4
test-suites,2,0,0,0,1.742,0.000119444,73621504,
